city,lat,lon,max temp,humidity,cloudiness,wind speed,country,date
Carnot,4.94,15.87,79.95,27,100,0.81,CF,1609613291
Berlevåg,70.86,29.09,28.24,94,100,9.08,NO,1609612706
Glenwood Springs,39.55,-107.32,30.99,85,40,10.29,US,1609613157
Cairns,-16.92,145.77,77.0,94,40,2.24,AU,1609613291
Les Escoumins,48.11,-69.02,23.0,92,100,8.05,CA,1609613291
Iskateley,67.68,53.15,-2.0,91,2,12.19,RU,1609613291
Gazli,40.13,63.45,26.22,82,0,11.03,UZ,1609613292
Bud,39.45,-86.18,36.0,85,90,3.36,US,1609612754
Qaqortoq,60.72,-46.03,32.0,98,75,2.24,GL,1609613293
Batagay-Alyta,67.8,130.41,-28.71,84,97,1.81,RU,1609612698
Talara,-4.58,-81.27,87.8,48,0,16.11,PE,1609613293
Chifeng,42.27,118.96,-9.47,80,0,6.55,CN,1609613293
Belmonte,-15.86,-38.88,84.2,83,75,10.29,BR,1609613293
Requena,39.49,-1.1,36.0,48,46,3.0,ES,1609613293
Baykit,61.67,96.37,-12.62,84,100,5.66,RU,1609613293
Sioux Lookout,50.1,-91.92,21.2,92,90,9.17,CA,1609613054
Mount Gambier,-37.83,140.77,59.0,100,90,6.93,AU,1609613293
Bara,10.37,10.73,78.49,23,0,5.1,NG,1609613293
Kudahuvadhoo,2.67,72.89,82.0,77,65,9.78,MV,1609613294
Antofagasta,-23.65,-70.4,75.0,73,40,14.99,CL,1609612688
Bundaberg,-24.85,152.35,71.01,94,40,6.93,AU,1609613294
Río Bueno,-40.32,-72.97,77.0,38,0,8.05,CL,1609613294
Mariehamn,60.1,19.93,32.0,86,75,8.05,AX,1609613294
Khovd,48.01,91.64,-6.12,87,91,1.23,MN,1609612782
Kirkland Lake,48.14,-80.04,26.6,86,88,5.41,CA,1609613114
Allāhganj,27.55,79.68,64.42,44,100,2.77,IN,1609613294
La Ronge,55.1,-105.28,17.6,92,100,5.82,CA,1609612763
Pilar,-9.6,-35.96,86.0,58,20,10.29,BR,1609613272
Muzhi,65.37,64.67,-26.32,84,3,8.66,RU,1609613294
Swakopmund,-22.68,14.53,63.0,88,100,11.41,NA,1609613294
Gijang,35.24,129.21,26.6,42,0,5.82,KR,1609613295
Emba,48.83,58.14,8.8,91,100,10.8,KZ,1609613295
Port Hawkesbury,45.62,-61.35,30.99,80,90,14.99,CA,1609613295
Morristown,36.21,-83.29,59.0,71,20,4.7,US,1609613295
Gravdal,68.12,13.5,35.6,93,75,4.7,NO,1609612938
Fare,-16.7,-151.02,80.62,75,0,18.39,PF,1609613295
Marsh Harbour,26.54,-77.06,76.19,69,2,12.77,BS,1609613295
Puerto Suárez,-18.95,-57.8,78.8,83,75,17.22,BO,1609613018
Koplik,42.21,19.44,46.4,87,40,1.12,AL,1609613295
Kampot,10.62,104.18,72.48,70,95,6.82,KH,1609613295
Buala,-8.14,159.59,79.9,74,92,4.45,SB,1609613295
Channel-Port aux Basques,47.57,-59.14,29.71,93,100,11.05,CA,1609613295
Miyako,39.64,141.95,19.17,85,0,5.41,JP,1609613295
Tambo,-14.8,-73.92,45.21,89,95,8.14,PE,1609613296
Flin Flon,54.77,-101.86,15.8,92,90,9.17,CA,1609612912
Khorixas,-20.37,14.97,66.09,64,73,14.2,NA,1609613296
Ailigandí,9.23,-78.02,84.38,68,0,7.83,PA,1609613296
Krasnoarmiys'k,48.28,37.18,34.07,91,0,1.9,UA,1609613296
Kokopo,-4.35,152.26,77.29,75,100,3.47,PG,1609613296
Petatlán,17.52,-101.27,86.0,51,5,6.11,MX,1609613296
Boyuibe,-20.42,-63.28,91.4,38,40,3.36,BO,1609613296
Kamina,-8.74,24.99,65.73,95,100,1.41,CD,1609613296
Contai,21.78,87.75,64.35,33,100,3.89,IN,1609613296
Half Moon Bay,37.46,-122.43,53.01,100,90,4.16,US,1609613248
Kungsbacka,57.49,12.08,35.01,90,90,6.93,SE,1609613296
Hamilton,39.18,-84.53,39.2,80,90,4.7,US,1609613147
Sittwe,20.15,92.9,65.8,75,0,5.84,MM,1609613297
Yerbogachën,61.28,108.01,-17.75,84,100,9.37,RU,1609612819
Madang,-5.22,145.8,76.8,84,100,4.5,PG,1609613298
Marawi,8.0,124.29,75.0,93,100,1.99,PH,1609613298
Manokwari,-0.87,134.08,79.43,78,100,10.09,ID,1609612824
Gari,59.43,62.35,-13.54,89,100,7.36,RU,1609613298
Harrison,30.41,-89.04,59.0,62,90,4.83,US,1609613298
Jacareacanga,-6.22,-57.75,93.85,44,89,3.31,BR,1609613298
Juegang,32.32,121.19,35.01,82,0,7.27,CN,1609613298
Corinth,37.94,22.96,55.0,73,100,3.0,GR,1609613298
Bowen,-20.02,148.23,75.2,94,90,5.82,AU,1609612939
Palana,59.12,159.97,-1.41,93,94,7.23,RU,1609613298
Saint-François,46.42,3.91,33.01,91,90,10.29,FR,1609613299
Srandakan,-7.94,110.25,76.75,84,69,4.21,ID,1609613299
Waitati,-45.75,170.57,56.89,91,100,4.72,NZ,1609613299
Kuril'sk,45.23,147.88,19.8,90,99,19.13,RU,1609613158
Mahibadhoo,3.78,72.97,81.86,79,96,14.67,MV,1609613299
Auki,-8.77,160.7,77.2,75,33,4.36,SB,1609613299
Lavumisa,-27.31,31.89,66.45,78,100,3.29,SZ,1609613299
Alyangula,-13.85,136.42,80.6,88,75,10.29,AU,1609613299
Metro,-5.11,105.31,75.58,89,97,2.44,ID,1609613299
Abu Dhabi,24.47,54.37,69.8,68,0,4.7,AE,1609613104
Camacha,33.08,-16.33,59.0,67,75,11.41,PT,1609613299
Hualmay,-11.1,-77.61,74.12,69,100,11.99,PE,1609613300
Cockburn Town,21.46,-71.14,80.6,57,40,17.22,TC,1609613230
Avera,33.19,-82.53,64.4,88,90,6.24,US,1609613300
Bilma,18.69,12.92,71.04,21,0,5.06,NE,1609613300
Slave Lake,55.28,-114.77,17.6,92,75,8.05,CA,1609613300
Codrington,-38.27,141.97,59.7,96,100,9.95,AU,1609613053
Enshi,30.3,109.48,42.17,70,98,1.12,CN,1609613300
Toktogul,41.87,72.94,24.96,58,0,1.59,KG,1609613300
Kempsey,-31.08,152.83,68.0,100,75,1.59,AU,1609613300
‘Ewa Beach,21.32,-158.01,75.2,69,1,3.36,US,1609613300
Shenjiamen,29.96,122.3,48.51,63,77,9.33,CN,1609613300
Palizada,18.25,-92.08,78.8,78,90,2.24,MX,1609613300
Kavaratti,10.57,72.64,81.3,65,0,5.95,IN,1609613301
Bouca,6.51,18.27,78.44,24,100,2.37,CF,1609613301
Itarema,-2.92,-39.92,85.1,61,0,17.76,BR,1609612875
Vostok,46.49,135.88,-16.49,90,100,4.34,RU,1609612803
Halifax,44.65,-63.57,37.4,93,100,26.4,CA,1609612641
Marzuq,14.4,46.47,62.92,57,37,1.23,YE,1609613301
Port Lincoln,-34.73,135.87,61.43,86,99,14.16,AU,1609612846
Russell,32.35,-85.2,60.8,93,40,3.36,US,1609613114
Mabaruma,8.2,-59.78,80.44,79,10,9.01,GY,1609613301
Kathmandu,27.72,85.32,42.8,81,40,2.24,NP,1609613072
Opuwo,-18.06,13.84,70.47,63,84,8.37,NA,1609613301
Pundaguitan,6.37,126.17,81.88,77,98,8.81,PH,1609613301
Gubkinskiy,64.43,76.5,-28.3,84,1,10.11,RU,1609613302
Burley,42.54,-113.79,37.4,64,90,8.05,US,1609613302
Kieta,-6.22,155.63,78.53,76,74,3.51,PG,1609613302
Brooks,50.58,-111.89,37.99,74,0,16.11,CA,1609613302
Sorokyne,48.29,39.74,32.4,96,0,4.07,UA,1609613302
Broome,42.25,-75.83,36.0,91,90,16.11,US,1609612866
Zhuangyuan,37.3,120.83,26.01,80,99,2.82,CN,1609613303
Falmouth,50.15,-5.07,41.0,86,100,14.99,GB,1609613303
Coyhaique,-45.58,-72.07,64.4,63,90,6.93,CL,1609613303
Talcahuano,-36.72,-73.12,64.4,68,0,16.11,CL,1609612805
Sola,-13.88,167.55,77.0,94,20,11.32,VU,1609613303
Constitución,-35.33,-72.42,66.87,58,15,9.93,CL,1609613303
Lorengau,-2.02,147.27,82.54,76,100,6.6,PG,1609612730
Bull Savanna,17.89,-77.59,79.74,58,0,15.79,JM,1609613304
Tautira,-17.73,-149.15,84.2,66,20,2.24,PF,1609613304
Khasan,42.43,130.64,9.19,81,0,16.8,RU,1609613304
Sai Buri,6.7,101.62,77.13,85,100,9.33,TH,1609613304
Henties Bay,-22.12,14.28,63.0,93,100,11.65,NA,1609613304
Nyurba,63.28,118.33,-15.68,87,100,9.71,RU,1609613304
Faanui,-16.48,-151.75,80.22,76,3,17.43,PF,1609613304
Beringovskiy,63.05,179.32,20.59,97,100,22.79,RU,1609613304
Idrinskoye,54.37,92.14,-19.77,86,98,1.52,RU,1609613304
Warud,21.47,78.27,65.08,52,34,3.09,IN,1609613304
Oktyabr'skiy,54.48,53.47,11.39,94,100,12.06,RU,1609613304
Doha,25.29,51.53,69.8,73,0,6.93,QA,1609612451
Takapau,-40.03,176.35,62.01,93,0,0.78,NZ,1609613305
Abbeville,50.1,1.83,37.99,70,100,4.81,FR,1609613305
Fort Nelson,58.81,-122.7,-9.4,83,75,3.36,CA,1609613305
Trairi,-3.28,-39.27,84.74,63,0,14.56,BR,1609612890
Port Macquarie,-31.43,152.92,68.0,100,75,5.21,AU,1609613305
Berbera,10.44,45.01,75.79,73,56,9.62,SO,1609613305
Baghdad,33.34,44.4,53.6,62,0,2.24,IQ,1609613192
Rørvik,64.86,11.24,34.77,84,0,5.46,NO,1609613305
Amarante do Maranhão,-5.57,-46.74,83.39,76,74,4.59,BR,1609613305
Mossamedes,-15.2,12.15,71.91,76,94,6.4,AO,1609613114
Forsytheganj,52.63,29.73,34.92,91,98,7.76,BY,1609613306
Mizdah,31.45,12.98,50.85,42,0,3.91,LY,1609613306
Moussoro,13.64,16.49,80.85,16,47,10.65,TD,1609613306
Havre-St-Pierre,50.23,-63.6,15.8,72,90,12.75,CA,1609612868
Merritt Island,28.54,-80.67,82.99,78,75,11.41,US,1609613306
Margate,51.38,1.39,39.99,80,100,4.0,GB,1609613306
Broken Hill,-31.95,141.43,64.4,77,0,11.41,AU,1609613306
Columbus,39.96,-83.0,41.0,80,90,2.84,US,1609613261
Dukat,62.55,155.55,-29.49,83,100,6.55,RU,1609613306
Kumul,42.8,93.45,14.02,83,8,2.57,CN,1609613306
Tres Arroyos,-38.37,-60.28,101.23,12,0,5.41,AR,1609613190
Tarbagatay,51.48,107.36,-13.0,75,75,10.51,RU,1609613306
Fort-Shevchenko,44.51,50.26,38.46,75,97,10.11,KZ,1609613307
Kembé,4.62,21.89,77.5,52,49,1.52,CF,1609613307
Sonta,45.59,19.1,44.6,75,0,12.75,RS,1609613307
Whitley Bay,55.04,-1.45,36.0,77,75,8.05,GB,1609613307
Novikovo,51.15,37.89,27.93,97,0,5.93,RU,1609613307
Ryōtsu-minato,38.08,138.43,32.0,94,100,9.64,JP,1609613307
Khonsa,27.02,95.57,53.01,70,95,3.04,IN,1609613307
Luau,-10.71,22.22,65.88,96,100,3.71,AO,1609613307
Alice Springs,-23.7,133.88,75.2,60,0,7.7,AU,1609613309
Okato,-39.2,173.88,59.0,94,100,1.01,NZ,1609613309
Ginir,7.13,40.7,59.63,52,100,2.44,ET,1609613309
Vieste,41.88,16.18,50.0,87,5,2.24,IT,1609613309
Behshahr,36.69,53.55,45.73,65,0,1.05,IR,1609613309
Ameca,20.55,-104.03,80.67,15,7,1.9,MX,1609613309
Duku,11.24,4.91,83.73,18,0,4.23,NG,1609613309
Kalemie,-5.95,29.19,71.33,83,100,4.81,CD,1609613309
